Time,Node,State,Running jobs,Expected jobs
0,CCPU_10459,free,none,none
0,CCPU_1046,free,none,none
0,CCPU_10460,free,none,none
0,CCPU_10461,free,none,none
0,CCPU_10462,free,none,none
0,CCPU_10463,free,none,none
0,CCPU_10464,free,none,none
0,CCPU_10465,free,none,none
0,CCPU_10466,free,none,none
0,CCPU_10467,free,none,none
0,CCPU_10468,free,none,none
0,CCPU_10469,free,none,none
0,CCPU_1047,free,none,none
0,CCPU_10470,free,none,none
0,CCPU_10471,free,none,none
0,CCPU_10472,free,none,none
0,CCPU_10473,free,none,none
0,CCPU_10474,free,none,none
0,CCPU_10475,free,none,none
0,CCPU_10476,free,none,none
0,CCPU_10477,free,none,none
0,CCPU_10478,free,none,none
0,CCPU_10479,free,none,none
0,CCPU_1048,free,none,none
0,CCPU_10480,free,none,none
0,CCPU_10481,free,none,none
0,CCPU_10482,free,none,none
0,CCPU_10483,free,none,none
0,CCPU_10484,free,none,none
0,CCPU_10485,free,none,none
0,CCPU_10486,free,none,none
0,CCPU_10487,free,none,none
0,CCPU_10488,free,none,none
0,CCPU_10489,free,none,none
0,CCPU_1049,free,none,none
0,CCPU_10490,free,none,none
0,CCPU_10491,free,none,none
0,CCPU_10492,free,none,none
0,CCPU_10493,free,none,none
0,CCPU_10494,free,none,none
0,CCPU_10495,free,none,none
0,CCPU_10496,free,none,none
0,CCPU_10497,free,none,none
0,CCPU_10498,free,none,none
0,CCPU_10499,free,none,none
0,CCPU_105,free,none,none
0,CCPU_1050,free,none,none
0,CCPU_10500,free,none,none
0,CCPU_10501,free,none,none
0,CCPU_10502,free,none,none
0,CCPU_10503,free,none,none
0,CCPU_10504,free,none,none
0,CCPU_10505,free,none,none
0,CCPU_10506,free,none,none
0,CCPU_10507,free,none,none
0,CCPU_10508,free,none,none
0,CCPU_10509,free,none,none
0,CCPU_1051,free,none,none
0,CCPU_10510,free,none,none
0,CCPU_10511,free,none,none
0,CCPU_10512,free,none,none
0,CCPU_10513,free,none,none
0,CCPU_10514,free,none,none
0,CCPU_10515,free,none,none
0,CCPU_10516,free,none,none
0,CCPU_10517,free,none,none
0,CCPU_10518,free,none,none
0,CCPU_10519,free,none,none
0,CCPU_1052,free,none,none
0,CCPU_10520,free,none,none
0,CCPU_10521,free,none,none
