JobID,NCPUS,NNodes,Submit,Start,End,ElapsedRaw,State
5313230,144,4,1704119532,None,1704139565,0,CANCELLED by 10408
5313231,144,4,1704119532,None,1704139565,0,CANCELLED by 10408
5313232,144,4,1704119532,None,1704139565,0,CANCELLED by 10408
5313233,144,4,1704119532,None,1704139565,0,CANCELLED by 10408
5313234,144,4,1704119532,None,1704139565,0,CANCELLED by 10408
5313235,144,4,1704119532,None,1704139565,0,CANCELLED by 10408
5313236,144,4,1704119532,None,1704139565,0,CANCELLED by 10408
5313237,144,4,1704119532,None,1704139565,0,CANCELLED by 10408
5313238,144,4,1704119532,None,1704139565,0,CANCELLED by 10408
5313239,36,1,1704122056,1704122057,1704122457,400,COMPLETED
5313241,36,1,1704122941,1704122942,1704123310,368,COMPLETED
5313242,36,1,1704123634,1704123635,1704124013,378,COMPLETED
5313248,36,1,1704133844,1704133845,1704133866,21,FAILED
5313249,36,1,1704134642,1704134642,1704134947,305,COMPLETED
5313250,144,4,1704135077,1704135077,1704137825,2748,COMPLETED
5313251,36,1,1704135161,1704135162,1704135461,299,COMPLETED
5313252,36,1,1704135777,1704135778,1704136081,303,COMPLETED
5313254,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313255,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313256,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313257,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313258,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313259,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313260,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313261,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313262,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313263,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313264,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313265,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313266,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313267,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313268,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313269,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313270,144,4,1704139188,1704139189,1704139210,21,CANCELLED by 10408
5313276,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313277,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313278,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313279,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
